subjectID,Min,Max,Crossover_S,Slope_S,Crossover_C,Slope_C,Slope_avg,Crossover_avg,exitflag,R,LS,AR,N,Exclude,status,WJOC,WJSR,age,agegroup,CMu,CH,CS1,CS2,CB1,CB2,Cexitflag,CR,CLS,CAR,CN,Cstatus,UMu,UH,US1,US2,UB1,UB2,Uexitflag,UR,ULS,UAR,UN,Ustatus,SemanticMax,SemanticMax-UnrelatedMax,SemanticMax-UnrelatedAtTimeOfSemanticMax,SemanticMaxDivUnrelatedAtTimeOfSemanticMax,MaxDiffBetweenSemantic&Unrelated,TimeOfMaxSemantic,TimeOfMaxDiff,variable,MinTime,MaxTime,extentCmU3,Exclude,goacc,nogoacc,gntestacc,gntotalacc,sscongruent,ssincongruent,sstotal,acc,rt,gnrt,ssrt,globalstop,respinhib
98,1.87E-08,0.823921915,564.3440126,0.001264997,669.3417182,0.001381848,0.001323423,616.8428654,2010,0.99613709,0.000670099,0.976154783,501,,1,110.1173,106.5987,7.8,1,396.6994374,0.245238637,137.5884433,265.4097856,2.77E-09,0.080002859,2020,0.957307012,0.000356515,0.965277095,501,1,296.7822667,0.216118889,90.09551375,247.8261852,1.48E-08,0.037002358,2020,0.982905692,1.23E-04,0.945690198,501,1,0.245239,0.0776362,0.0789574,1.47484,0.0806587,396.699,452,,476,696,220,,0.9875,0.7,0.93,0.946153846,718.9808333,740.9121277,729.8310526,0.98958333,1822.547368,502.671625,729.9464805,-0.410666505,-0.322377463
114,1.93E-08,0.878131282,780.0381459,0.000931696,762.5818994,0.000822514,0.000877105,771.3100226,2020,0.994850235,0.001071403,0.984337156,501,,1,95.81021,88.4171,7.4,1,391.5464381,0.274629677,108.591838,470.0543627,1.89E-02,0.030886182,2010,0.984651644,0.000238763,0.936889548,501,1,427.7426562,0.191022614,144.4765972,365.9782636,3.07E-03,0.021182978,2010,0.979252262,0.000157875,0.95438855,501,1,0.27463,0.116904,0.117561,1.74847,0.118045,391.546,384,,248,1072,824,,0.975,0.8,0.94,0.946153846,1190.90898,1458.127826,1320.299158,0.95833333,2303.926471,541.4875,1324.518403,-2.084783691,1.08130178
300,8.53E-08,0.916543247,734.2756252,0.00098942,723.8775335,0.001192938,0.001091179,729.0765794,2010,0.995275419,0.001042733,0.982460737,501,,1,105.7798,113.7305,7.8,1,472.6633826,0.241093001,138.2072607,348.4950768,9.25E-09,0.04229044,2020,0.977146875,0.000256501,0.944437383,501,1,363.3901365,0.175858828,79.40321263,367.033382,1.28E-08,0.015452563,2010,0.987692291,8.10E-05,0.913043234,501,1,0.241093,0.089299,0.0970047,1.67323,0.103455,472.663,588,,496,1076,580,,0.9875,0.8,0.95,0.961538462,1034.545556,1189.240789,1105.36988,1,3744.947917,472.825375,1111.893173,0.586024029,1.332525639
375,7.81E-08,0.632096693,619.4299351,0.00120731,704.4344804,0.00095201,0.00107966,661.9322078,2020,0.993334058,0.000814852,0.981307201,501,,1,113.1684,102.2645,8.2,1,568.7943744,0.130331646,154.3980517,440.2734419,1.03E-06,0.130331544,2010,0.940852234,0.000284644,0.973155754,501,1,457.282154,0.127016925,132.3655943,260.629532,1.81E-08,0.02007602,2020,0.961085109,0.000116267,0.961851535,501,1,0.130332,0.0398901,0.042861,1.49,0.113143,568.794,2000,,876,2000,1124,,1,0.95,0.99,0.992307692,835.4338,879.7680851,856.9153608,0.98958333,1636.305263,499.6285,857.6009426,-0.101165608,-0.338400607
385,1.03E-02,0.79913623,613.9496326,0.001217485,590.4032558,0.001038325,0.001127905,602.1764442,2010,0.996999503,0.000504634,0.970984698,501,,1,128.2119,126.2603,8.4,1,489.5154399,0.17802234,223.6036899,413.2800726,9.36E-09,0.046363734,2020,0.947843561,0.000274484,0.960267717,501,1,372.1466898,0.265167754,117.9321537,202.1006565,1.05E-02,0.03846133,2010,0.988235922,0.00012677,0.945756685,501,1,0.178022,0.0165525,0.0478178,1.36725,0.118601,489.515,744,,608,1108,500,,0.975,0.75,0.93,0.946153846,831.6133333,814.6046809,822.9241304,1,1936.114583,483.892,823.1090071,-0.240736159,-1.11246209
496,3.17E-08,0.886585479,644.2165252,0.00093792,636.8064398,0.000916571,0.000927246,640.5114825,2020,0.996138454,0.000706577,0.980084801,501,,1,98.87095,100,7.7,1,801.1302379,0.1510237,464.4139156,315.5393021,3.54E-09,0.019890354,2020,0.936626213,3.22E-04,0.976689,501,1,390.3233322,0.237882194,148.1525229,262.5610126,3.98E-09,0.032164699,2010,0.991546322,8.74E-05,0.936971195,501,1,0.151024,-0.0175525,0.0692453,1.84674,0.0828857,801.13,932,,796,1136,340,,1,0.85,0.97,0.976923077,860.2406,949.4342553,903.4581443,1,2285.666667,563.693625,904.8374277,0.640567484,0.532390292
583,1.04E-07,0.742537943,682.1591068,0.001272029,693.2376967,0.000811849,0.001041939,687.6984018,2020,0.998529335,0.000250952,0.955727153,501,,1,80.77673,95.0222,8.5,1,646.7415515,0.258897608,208.7978429,190.827024,4.04E-07,0.040438711,2010,0.987973,0.000144038,0.922482706,501,1,360.5701302,0.197057424,74.61617586,246.9437384,1.68E-02,0.007676904,2020,0.993217207,4.95E-05,0.906430472,501,1,0.258898,0.121526,0.159603,2.60737,0.162933,646.742,684,,556,840,284,,1,0.95,0.99,0.992307692,780.9168,901.6556,841.2862,1,2012.5625,537.260625,841.2862,1.194569791,0.768995676
706,4.42E-08,0.850786144,708.6995024,0.000905692,769.4662778,0.000882707,0.000894199,739.0828901,2020,0.997396225,0.000471993,0.967159516,501,,1,100.376,111.0827,7.6,1,274.6285076,0.173212286,40.08438351,943.6404838,5.18E-07,5.18E-08,2010,0.937305287,0.00041806,0.976055405,501,1,440.2181526,0.217228819,149.2260053,316.6803685,9.18E-09,0.02794597,2020,0.986551614,0.000125128,0.950541795,501,1,0.173212,0.00682477,0.0234897,1.15689,0.0631961,274.629,1216,,980,1268,288,,1,1,1,1,1047.385,1124.490217,1085.11734,1,2076.510417,606.9395,1085.937609,-0.320238484,0.273416073
774,2.21E-08,0.697330596,771.1458868,0.000789699,707.4888385,0.000768482,0.00077909,739.3173626,2020,0.99688975,0.000435306,0.974397824,501,,1,112.0963,92.98452,8.8,1,377.199346,0.163231883,87.68423583,967.1564827,2.80E-03,3.40E-06,2020,0.952969482,0.000249583,0.966582262,501,1,398.8748176,0.163335362,90.24443269,375.0900126,2.02E-07,0.034085124,2010,0.982486095,8.70E-05,0.942590361,501,1,0.163232,0.0563646,0.0563665,1.52745,0.0613957,377.199,992,,700,1324,624,,0.975,0.6,0.9,0.915384615,1047.033958,1524.650227,1275.45913,1,2560.260417,427.478875,1285.842093,-2.871622036,3.042667648
815,8.97E-09,0.725037908,625.0142225,0.000754713,608.2848374,0.000882622,0.000818667,616.64953,2020,0.99706515,0.000345145,0.960420291,501,,1,96.9716,99.62397,8.8,1,533.4986681,0.143774385,225.8685413,569.002579,9.16E-08,0.058617686,2020,0.966315691,9.23E-05,0.917575236,501,1,368.5948509,0.228907913,128.1148798,247.9741856,2.54E-04,0.043062884,2020,0.989732093,8.33E-05,0.928250876,501,1,0.143774,-0.0526323,-0.0211941,0.871527,0.0596797,533.499,1080,,784,1116,332,,1,0.8,0.96,0.969230769,932.3420833,1024.829762,975.503,0.98958333,1856.673684,492.055,978.5859226,-2.203119617,-0.916224285
