subjectID,Min,Max,Crossover,Slope,exitflag,R,LS,AR,N,status,age,Exclude,goacc,nogoacc,gntestacc,gntotalacc,sscongruent,ssincongruent,sstotal,WJOC,WJSR,CMu,CH,CS1,CS2,CB1,CB2,Cexitflag,CR,CLS,CAR,CN,Cstatus,UMu,UH,US1,US2,UB1,UB2,Uexitflag,UR,ULS,UAR,UN,Ustatus,MinTime,MaxTime,extentCmU3,CompMax,CompMax-UnrelatedMax,CompMax-UnrelatedAtTimeOfCohortMax,CohortMaxDivUnrelatedAtTimeOfCohortMax,MaxDiffBetweenCohort&Unrelated,TimeOfMaxRhyme,TimeOfMaxDiff,CohortExtent03,eyemove
98,2.17E-08,0.778063692,483.3527426,0.002209761,2010,0.996789404,0.000630032,0.986901624,501,1,7.8,,0.9875,0.7,0.93,0.946153846,730.3792,721.9818,726.1805,110.1173,106.5987,450.9496867,0.192030029,59.41783605,160.8250255,1.31E-08,0.013489358,2040,0.992671676,3.87E-05,0.889886496,501,1,467.0978999,0.040656599,99.75129254,50.43206455,2.28E-07,0.007879588,2021,0.977143692,3.30E-06,0.815788341,501,1,384,604,220,0.19203,0.151373,0.151836,4.77761,0.151875,450.95,448,0,1363.65625
114,1.37E-08,0.930520776,632.5340063,0.002188755,2010,0.998657085,0.000429207,0.979006387,501,1,7.4,,0.975,0.8,0.94,0.946153846,1193.257,1418.9704,1306.1137,95.81021,88.4171,571.1956504,0.247745707,100.1950826,194.8413021,0.001338376,0.021512918,2010,0.989312852,0.000113107,0.936168595,501,1,521.6954048,0.097901968,77.09132183,81.53315905,0.004067441,0.006013316,2011,0.986057369,1.46E-05,0.896229954,501,1,516,804,288,0.247916,0.149312,0.164973,2.98901,0.19622,568.223,656,0,2036.96809
300,2.13E-08,0.938103699,537.8148918,0.002898773,2010,0.9983198,0.000527168,0.983133823,501,1,7.8,,0.9875,0.8,0.95,0.961538462,1065.575,1147.9284,1106.7517,105.7798,113.7305,499.4686858,0.252234828,61.10864668,132.1861869,1.33E-07,0.009041783,2040,0.994186089,5.02E-05,0.904896631,501,1,468.4301236,0.058398656,56.87341196,72.21114299,0.000593803,0.001032706,2011,0.984424,5.32E-06,0.788183879,501,1,432,640,208,0.252235,0.193865,0.198973,4.73573,0.204996,499.468,536,60,2181.65405
375,,,,,,,,,,,8.2,x,1,0.95,0.99,0.992307692,835.4338,942.9816,889.2077,113.1684,102.2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.36508
385,2.86E-08,0.818430451,537.3233978,0.00262214,2010,0.996601307,0.000734513,0.986332064,501,1,8.4,,0.975,0.75,0.93,0.946153846,840.8826,798.2372,819.5599,128.2119,126.2603,547.8771391,0.191957215,88.81341845,106.5530032,5.80E-09,0.013544276,2030,0.98514325,7.24E-05,0.940519786,501,1,485.1376177,0.07158921,61.04051603,124.8926523,0.007491837,1.41E-08,2020,0.990007448,1.10E-05,0.996392614,501,3,456,676,220,0.191957,0.119386,0.128058,3.00404,0.13263,547.877,572,0,1573.92105
496,1.50E-08,0.91549652,500.72158,0.002230621,2020,0.995828758,0.001135458,0.991118331,501,1,7.7,,1,0.85,0.97,0.976923077,860.2406,919.0194,889.63,98.87095,100,442.805227,0.162596452,68.43867952,231.732623,0.000898717,0.009132299,2020,0.987591772,5.96E-05,0.932401358,501,1,448.4849842,0.043368535,57.6009847,118.9473738,0.00223093,0.008383253,2041,0.979342494,3.86E-06,0.844258337,501,1,356,652,296,0.155624,0.112277,0.113268,3.6742,0.114233,433.158,428,0,1815.43455
583,2.39E-08,0.935015184,530.519064,0.003052539,2020,0.997425439,0.000747727,0.986082113,501,1,8.5,,1,0.95,0.99,0.992307692,780.9168,901.6556,841.2862,80.77673,95.0222,524.1100755,0.220798114,71.28012589,125.4237133,8.27E-09,0.000848517,2010,0.993841792,4.36E-05,0.915087892,501,1,473.4907497,0.033191531,48.4023705,121.5881051,5.27E-06,0.001486598,2030,0.980064591,2.71E-06,0.846802138,501,1,428,644,216,0.220798,0.187607,0.190227,7.22248,0.190638,524.11,532,0,1415.53158
706,1.74E-08,0.914203886,619.646942,0.002163585,2020,0.99812647,0.000588039,0.985545551,501,1,7.6,,1,1,1,1,1052.619,1105.451,1079.035,100.376,111.0827,560.3780495,0.206369158,77.89607233,183.0004085,0.000168831,0.009602738,2020,0.994399487,4.00E-05,0.885827709,501,1,541.6251023,0.085947623,69.43647498,118.7584275,4.62E-08,0.001535248,2031,0.994649966,5.40E-06,0.709853872,501,1,480,792,312,0.206369,0.120421,0.121426,2.4295,0.127175,560.378,636,0,1587.72396
774,2.02E-08,0.844625622,554.6377421,0.002747377,2010,0.995618538,0.001087619,0.989446035,501,1,8.8,,0.975,0.6,0.9,0.915384615,1028.693,1448.5488,1238.6209,112.0963,92.98452,551.56631,0.264183204,79.13015455,155.97911,0.003226191,0.016584638,2010,0.994232489,6.05E-05,0.909192834,501,1,624.7057571,0.041168166,118.1208804,39.35019569,0.001905958,0.013011277,2041,0.891966847,1.76E-05,0.9483256,501,1,448,692,244,0.263985,0.222993,0.2296,7.67742,0.229818,552.7,548,116,1744.51111
815,8.88E-08,0.87106671,535.3419229,0.002760119,2010,0.998189992,0.000473387,0.980189077,501,1,8.8,,1,0.8,0.96,0.969230769,931.6778,991.3622,961.52,96.9716,99.62397,504.1565779,0.202736735,56.20821548,163.5940675,0.008649596,0.031011275,2030,0.988696664,5.84E-05,0.907184321,501,1,534.2163205,0.058667318,89.76255779,62.79248647,0.006997415,0.016730091,2011,0.874454359,3.69E-05,0.958608231,501,1,432,676,244,0.197887,0.144155,0.144309,3.69342,0.144306,508.314,508,0,2015.32258
